价格区间,车型,报价(单位：万)
10-15万,长安欧尚X5,"('6.99', '10.29')"
10-15万,卡罗拉,"('10.98', '15.98')"
10-15万,五菱凯捷,"('8.58', '13.48')"
10-15万,明锐,"('9.99', '16.14')"
10-15万,T-ROC探歌,"('13.58', '20.49')"
10-15万,捷途X70 PLUS,"('7.70', '13.90')"
10-15万,雷凌,"('11.38', '15.28')"
10-15万,长安欧尚X7,"('7.77', '12.99')"
10-15万,逸动,"('7.29', '10.39')"
10-15万,探影,"('11.49', '16.09')"
10-15万,传祺GS4,"('8.98', '15.18')"
10-15万,领克06,"('11.86', '14.56')"
10-15万,领克03,"('11.38', '24.88')"
10-15万,北京现代ix35,"('11.99', '16.19')"
10-15万,长安CS35PLUS,"('6.99', '10.99')"
10-15万,昂科拉,"('12.59', '15.59')"
10-15万,捷达VS5,"('8.48', '11.28')"
10-15万,宝骏530,"('7.08', '11.58')"
10-15万,长安UNI-T,"('11.39', '13.39')"
10-15万,传祺M6,"('10.98', '15.98')"
10-15万,博越,"('8.88', '14.68')"
10-15万,桑塔纳,"('8.69', '11.59')"
10-15万,哈弗大狗,"('11.99', '15.59')"
10-15万,科鲁泽,"('8.99', '12.29')"
10-15万,宝骏730,"('6.08', '10.88')"
10-15万,长安CS55PLUS,"('9.19', '11.69')"
10-15万,哈弗F7,"('11.18', '15.18')"
10-15万,别克GL6,"('13.99', '16.99')"
10-15万,威驰,"('7.38', '11.18')"
10-15万,缤智,"('12.78', '17.68')"
10-15万,途铠,"('11.49', '15.99')"
10-15万,YARiS L 致炫,"('7.78', '10.38')"
10-15万,Polo,"('9.99', '12.39')"
10-15万,马自达3 昂克赛拉,"('11.59', '18.99')"
10-15万,本田XR-V,"('12.79', '17.59')"
10-15万,柯米克,"('8.99', '12.59')"
10-15万,瑞虎5x,"('5.99', '11.09')"
10-15万,长安CS75,"('10.39', '11.99')"
10-15万,捷途X70,"('6.99', '12.29')"
10-15万,宋Pro,"('8.98', '12.99')"
10-15万,名爵6,"('9.38', '14.28')"
10-15万,帝豪GL,"('7.78', '13.98')"
10-15万,飞度,"('7.38', '10.88')"
10-15万,捷达VS7,"('10.68', '13.68')"
10-15万,瑞虎8 PLUS,"('12.49', '15.99')"
10-15万,荣威RX5,"('9.98', '13.98')"
10-15万,领克02,"('11.98', '18.88')"
10-15万,荣威i5,"('6.89', '11.59')"
10-15万,骐达TIIDA,"('9.99', '13.59')"
10-15万,瑞虎7,"('7.99', '14.98')"
10-15万,全顺,"('12.64', '19.80')"
10-15万,红旗H5,"('14.58', '19.08')"
10-15万,长安CS55,"('8.29', '13.39')"
10-15万,宋PLUS,"('11.58', '14.38')"
10-15万,智跑,"('11.99', '14.89')"
10-15万,豪越,"('10.36', '14.26')"
10-15万,锐程CC,"('9.49', '12.89')"
10-15万,宋MAX,"('7.99', '12.99')"
10-15万,WEY VV6,"('14.80', '17.50')"
10-15万,马自达CX-4,"('14.88', '21.58')"
10-15万,博瑞,"('13.68', '17.98')"
10-15万,凌派,"('9.98', '16.98')"
10-15万,菲斯塔,"('11.98', '15.48')"
10-15万,悦动,"('8.49', '11.59')"
10-15万,依维柯欧胜,"('13.59', '32.59')"
10-15万,帝豪GS,"('7.78', '11.68')"
10-15万,丰田C-HR,"('14.18', '18.08')"
10-15万,东风风神AX7,"('8.98', '14.39')"
10-15万,凌渡,"('14.29', '19.69')"
10-15万,WEY VV5,"('12.58', '14.78')"
10-15万,上汽大通MAXUS ,"('13.98', '22.98')"
10-15万,奔腾T77,"('8.98', '13.88')"
10-15万,缤越,"('7.58', '11.98')"
10-15万,天逸 C5 AIRC,"('14.97', '23.87')"
10-15万,起亚K3,"('9.88', '13.18')"
10-15万,缤瑞,"('7.58', '11.08')"
10-15万,炮,"('9.78', '20.78')"
10-15万,名爵5,"('6.79', '10.49')"
10-15万,柯珞克,"('12.99', '15.99')"
10-15万,捷途X95,"('9.99', '15.29')"
10-15万,奕泽IZOA,"('14.58', '17.68')"
10-15万,新宝骏RM-5,"('7.88', '12.08')"
10-15万,风光580,"('7.99', '12.30')"
10-15万,马自达CX-30,"('12.99', '19.99')"
10-15万,奔腾T99,"('14.99', '18.99')"
10-15万,上汽大通MAXUS ,"('10.28', '24.56')"
10-15万,指南者,"('13.98', '22.98')"
10-15万,沃兰多,"('11.49', '15.99')"
10-15万,名图,"('13.38', '16.98')"
10-15万,风骏7,"('8.68', '13.88')"
10-15万,上汽大通MAXUS ,"('14.78', '24.96')"
10-15万,领动,"('10.98', '14.68')"
10-15万,比亚迪e2,"('8.98', '14.48')"
10-15万,伊兰特,"('9.98', '14.18')"
10-15万,荣威RX5 MAX,"('11.88', '18.98')"
10-15万,长安欧尚科赛Pro,"('8.59', '15.29')"
10-15万,吉利icon,"('9.98', '12.88')"
10-15万,劲客,"('9.98', '13.88')"
10-15万,哈弗H6 Coupe,"('7.99', '11.90')"
10-15万,嘉际,暂无报价
10-15万,名爵ZS,"('7.88', '11.28')"
10-15万,传祺GS3,"('7.68', '11.38')"
10-15万,KX3傲跑,"('10.88', '12.58')"
10-15万,上汽大通MAXUS ,"('8.68', '16.70')"
10-15万,星越,"('13.58', '19.58')"
10-15万,标致408,"('11.77', '16.97')"
10-15万,北京现代ix25,"('10.58', '13.68')"
10-15万,享域,"('9.98', '16.69')"
10-15万,图雅诺,"('9.57', '22.98')"
10-15万,小鹏汽车G3,"('14.68', '19.98')"
10-15万,福睿斯,"('8.08', '11.68')"
10-15万,高尔夫·嘉旅,"('12.88', '19.28')"
10-15万,艾瑞泽GX,"('7.59', '11.39')"
10-15万,东南DX3,暂无报价
10-15万,哈弗H7,"('14.20', '18.00')"
10-15万,哈弗F5,"('7.98', '13.00')"
10-15万,秦Pro,"('7.98', '11.59')"
10-15万,嘉悦A5,"('8.48', '11.58')"
10-15万,创酷,"('9.99', '13.99')"
10-15万,风骏5,"('6.88', '11.28')"
10-15万,秦Pro新能源,"('13.69', '20.69')"
10-15万,哈弗F7x,"('11.99', '15.49')"
10-15万,唐,"('12.99', '16.99')"
10-15万,领界,"('10.98', '16.48')"
10-15万,哈弗H4,"('7.39', '11.50')"
10-15万,星途LX,"('10.99', '15.09')"
10-15万,驭胜S350,"('12.18', '20.18')"
10-15万,观致3,"('9.89', '15.39')"
10-15万,捷途X70S,"('7.69', '15.89')"
10-15万,依维柯得意,"('11.84', '17.00')"
10-15万,星途TX,"('13.59', '14.79')"
10-15万,瑞风M4,"('9.98', '15.98')"
10-15万,BEIJING-X7,"('10.49', '14.69')"
10-15万,星途TXL,"('13.59', '17.59')"
10-15万,启辰星,"('10.96', '14.96')"
10-15万,上汽MAXUS T6,"('8.98', '21.38')"
10-15万,新宝骏RS-5,"('9.78', '13.58')"
10-15万,YARiS L 致享,"('7.98', '10.58')"
10-15万,Aion S,"('13.98', '20.58')"
10-15万,威驰FS,"('7.18', '10.78')"
10-15万,风行T5,"('6.99', '13.59')"
10-15万,中华V7,"('10.87', '15.99')"
10-15万,奕歌,"('12.98', '18.58')"
10-15万,传祺GA6,"('10.88', '16.88')"
10-15万,蓝鸟,"('9.59', '13.39')"
10-15万,宋MAX新能源,"('14.99', '19.98')"
10-15万,哪吒V,"('5.99', '12.08')"
10-15万,荣威RX3,"('6.98', '10.43')"
10-15万,元新能源,"('8.99', '13.99')"
10-15万,C-TREK蔚领,"('11.39', '15.89')"
10-15万,传祺GS5,"('10.98', '16.98')"
10-15万,奕炫,"('6.99', '10.09')"
10-15万,观致5,"('13.88', '16.38')"
10-15万,自由侠,"('12.98', '19.08')"
10-15万,荣威i6,"('8.98', '13.98')"
10-15万,昕动,"('7.79', '10.99')"
10-15万,劲炫ASX,"('9.98', '13.98')"
10-15万,名爵HS,"('10.98', '16.98')"
10-15万,长安CS85 COU,"('11.99', '16.99')"
10-15万,启辰T60,"('8.68', '11.88')"
10-15万,锐骐6,"('8.98', '17.98')"
10-15万,MG领航,"('9.98', '15.98')"
10-15万,阅朗,"('13.19', '14.69')"
10-15万,福瑞迪,"('7.88', '10.28')"
10-15万,雪铁龙C3-XR,"('9.48', '11.89')"
10-15万,奔腾T33,"('6.98', '10.59')"
10-15万,荣威Ei5,"('12.88', '16.11')"
10-15万,纳瓦拉,"('13.98', '19.98')"
10-15万,风行T5L,"('7.99', '17.69')"
10-15万,哪吒N01,"('6.68', '13.98')"
10-15万,D-MAX,"('14.48', '22.48')"
10-15万,东南DX7,"('8.99', '13.99')"
10-15万,域虎7,"('10.78', '17.63')"
10-15万,欧拉好猫,"('10.39', '14.39')"
10-15万,特顺,"('9.58', '13.90')"
10-15万,荣威i6 MAX,"('10.98', '12.58')"
10-15万,秦新能源,"('12.99', '20.99')"
10-15万,帝豪GSe,"('10.99', '15.99')"
10-15万,观致7,"('10.98', '15.98')"
10-15万,BJ 212,"('7.77', '10.48')"
10-15万,上汽大通MAXUS ,"('8.98', '20.48')"
10-15万,长安欧尚科尚,"('7.98', '16.08')"
10-15万,宝沃BX5,"('12.98', '15.58')"
10-15万,海马8S,"('7.99', '13.69')"
10-15万,BEIJING-U7,"('8.79', '12.29')"
10-15万,风骏6,"('8.68', '11.78')"
10-15万,阁瑞斯,"('8.88', '27.78')"
10-15万,域虎9,"('13.48', '21.18')"
10-15万,VGV U70,"('6.99', '11.89')"
10-15万,风行T5 EVO,"('10.39', '13.69')"
10-15万,启辰T70,"('8.98', '12.78')"
10-15万,新宝骏RC-6,"('8.48', '12.38')"
10-15万,新宝骏RC-5,"('5.98', '11.28')"
10-15万,威马EX5,"('14.68', '19.88')"
10-15万,捷途X70 Coup,"('9.29', '12.99')"
10-15万,创界,"('13.99', '17.99')"
10-15万,奕炫GS,"('7.49', '10.89')"
10-15万,逸动XT,"('7.79', '11.19')"
10-15万,思皓A5,"('7.88', '11.58')"
10-15万,几何C,"('12.98', '18.28')"
10-15万,标致2008,"('10.99', '14.99')"
10-15万,风光ix7,"('12.59', '21.59')"
10-15万,启辰T90,"('11.88', '15.48')"
10-15万,瑞迈,"('8.38', '13.58')"
10-15万,北汽新能源EC5,"('9.99', '11.99')"
10-15万,瑞风M5,"('13.95', '16.65')"
10-15万,思皓X8,"('8.88', '13.58')"
10-15万,BEIJING-EX,"('11.99', '16.39')"
10-15万,瑞风S7,"('10.98', '13.98')"
10-15万,瑞风,"('9.99', '16.38')"
10-15万,宝典,"('8.28', '10.93')"
10-15万,拓陆者驭途,"('10.48', '19.58')"
10-15万,风光ix5,"('9.98', '13.98')"
10-15万,BEIJING-EU,"('12.99', '17.19')"
10-15万,传祺GA4,"('7.38', '11.58')"
10-15万,江淮T8,"('8.88', '16.28')"
10-15万,蒙派克E,"('7.46', '10.85')"
10-15万,SWM斯威X7,"('6.39', '10.59')"
10-15万,云逸 C4 AIRC,"('10.68', '15.68')"
10-15万,黄海N3,"('10.58', '19.68')"
10-15万,江淮iEV7S,"('9.35', '10.95')"
10-15万,星锐,"('10.97', '21.78')"
10-15万,比亚迪e3,"('10.38', '16.48')"
10-15万,思皓E20X,"('12.80', '13.80')"
10-15万,域虎5,"('9.68', '13.63')"
10-15万,汉腾X7,"('7.88', '15.68')"
10-15万,风景G7,"('7.16', '10.66')"
10-15万,江淮T6,"('8.68', '13.48')"
10-15万,勇士,"('9.98', '16.17')"
10-15万,瑞虎e,"('10.88', '14.39')"
10-15万,荣威i6新能源,"('14.78', '20.18')"
10-15万,哈弗初恋,"('7.89', '11.29')"
10-15万,福克斯Active,"('13.98', '15.38')"
10-15万,奇瑞蚂蚁,"('14.98', '18.98')"
10-15万,朗逸纯电,"('14.89', '14.89')"
10-15万,风行M7,"('12.69', '22.99')"
10-15万,汉腾X5,"('5.98', '10.68')"
10-15万,哪吒U,"('13.98', '19.98')"
10-15万,LIFE,"('9.78', '11.28')"
10-15万,长安凯程F70,"('9.28', '14.18')"
10-15万,欧拉iQ,"('11.48', '15.03')"
10-15万,帝豪新能源,"('13.58', '15.98')"
10-15万,嘉悦X7,"('8.98', '13.98')"
10-15万,高尔夫·纯电,"('14.77', '16.88')"
10-15万,菱智PLUS,"('9.99', '13.19')"
10-15万,风光580Pro,"('9.29', '12.09')"
10-15万,SWM斯威G05,"('6.99', '11.99')"
10-15万,拓陆者,"('7.78', '19.88')"
10-15万,御风,"('10.38', '28.58')"
10-15万,风景G9,"('9.98', '19.00')"
10-15万,吉姆尼(进口),"('14.18', '16.08')"
10-15万,金杯F50,"('6.25', '10.89')"
10-15万,秦PLUS,"('10.58', '14.58')"
10-15万,凯绅,"('13.03', '14.98')"
10-15万,瑞虎3xe,"('9.38', '10.68')"
10-15万,铃拓,"('11.18', '15.48')"
10-15万,几何A,"('15.00', '19.00')"
10-15万,景逸S50,"('4.89', '15.18')"
10-15万,五菱EV50,"('10.80', '11.98')"
10-15万,长安新能源E-Pro,"('10.69', '12.69')"
10-15万,域虎3,"('8.98', '12.22')"
10-15万,金杯大海狮,"('9.48', '25.28')"
10-15万,逸动新能源,"('12.99', '13.99')"
10-15万,名爵6新能源,"('14.58', '17.58')"
10-15万,ENCINO 昂希诺,"('12.99', '15.59')"
10-15万,瑞驰新能源EC35,"('10.28', '10.28')"
10-15万,领主,"('8.48', '19.88')"
10-15万,锐骐,"('7.78', '12.78')"
10-15万,依维柯褒迪,"('14.39', '32.49')"
10-15万,凯翼X5,"('7.89', '10.49')"
10-15万,名爵EZS纯电动,"('11.98', '14.98')"
10-15万,北京F40,"('14.98', '16.99')"
10-15万,捷途X70S EV,"('14.98', '16.98')"
10-15万,LITE,"('11.08', '12.68')"
10-15万,福田奥铃捷运,"('4.00', '14.56')"
10-15万,金旅海狮,"('7.08', '10.78')"
10-15万,宝来·纯电,"('13.68', '14.68')"
10-15万,黄海N7,"('10.68', '13.78')"
10-15万,汉腾V7,"('7.99', '13.59')"
10-15万,零跑S01,"('11.99', '15.09')"
10-15万,风景G5,"('7.47', '15.39')"
10-15万,大乘G60S,"('8.49', '12.19')"
10-15万,东风风神E70,"('13.58', '15.98')"
10-15万,睿行EM80,"('13.58', '13.98')"
10-15万,上汽大通MAXUS ,"('9.38', '19.00')"
10-15万,海马7X,"('12.58', '14.98')"
10-15万,江淮iEVS4,"('13.95', '15.95')"
10-15万,黄海N2,"('7.28', '16.58')"
10-15万,九龙A4,"('12.18', '17.88')"
10-15万,缤越新能源,"('12.58', '14.98')"
10-15万,勇士皮卡,"('9.01', '11.56')"
10-15万,艾瑞泽e,"('10.98', '15.48')"
10-15万,威虎,"('6.98', '10.08')"
10-15万,雪铁龙C3L,"('8.49', '10.59')"
10-15万,宝沃BX3,"('9.68', '13.08')"
10-15万,江淮iEVA50,"('13.95', '14.55')"
10-15万,逸动ET,"('13.29', '14.29')"
10-15万,黄海N1,"('6.68', '11.18')"
10-15万,北汽EV5,"('10.38', '11.38')"
10-15万,东风小康EC36,"('8.29', '10.79')"
10-15万,SWM斯威G01,"('7.99', '12.59')"
10-15万,北汽威旺407EV,"('10.98', '13.40')"
10-15万,瑞驰新能源EC31,"('10.28', '10.98')"
10-15万,海马爱尚EV,"('3.98', '12.38')"
10-15万,北京BJ30,"('10.60', '12.60')"
10-15万,传祺GS4 COUP,"('13.68', '14.68')"
10-15万,云度π3,"('11.98', '14.48')"
10-15万,优优EV,"('8.98', '12.28')"
10-15万,尼欧Ⅱ,"('3.99', '10.08')"
10-15万,TAGA达咖,"('9.98', '13.48')"
10-15万,祺智EV,"('12.98', '13.98')"
10-15万,艾菲,"('12.98', '31.28')"
10-15万,好运1号,"('12.68', '13.78')"
10-15万,凯锐浩克,"('7.58', '18.80')"
10-15万,御风P16,"('8.48', '15.18')"
10-15万,卡缤(进口),"('13.18', '14.18')"
10-15万,云度π1,"('11.28', '11.98')"
10-15万,东风本田M-NV,"('14.98', '15.98')"
10-15万,长安之星9新能源,"('13.18', '13.98')"
10-15万,骐铃T7,"('7.28', '11.38')"
10-15万,福田征服者,"('7.78', '10.78')"
10-15万,凯特,"('13.88', '25.00')"
10-15万,猎豹CT7,"('8.28', '12.08')"
10-15万,SITECH DEV,"('13.99', '16.49')"
10-15万,江淮iC5,"('14.99', '17.59')"
10-15万,风行S50EV,"('13.99', '24.07')"
10-15万,博骏,"('4.99', '12.99')"
10-15万,牧马人美版,暂无报价
10-15万,奕炫EV,"('14.98', '15.98')"
10-15万,风光E3,"('12.98', '15.98')"
10-15万,海狮EV,"('12.68', '17.08')"
10-15万,福田风景,暂无报价
10-15万,斯派卡新能源,"('9.99', '12.99')"
10-15万,雄师F22,"('7.78', '15.18')"
10-15万,英格尼斯,"('12.90', '12.90')"
10-15万,BEIJING-X5,"('7.99', '11.99')"
10-15万,开沃D10,"('14.88', '16.88')"
10-15万,九龙A5,"('14.78', '21.60')"
10-15万,凯运蓝鲸,"('10.98', '11.98')"
10-15万,蒙派克S,"('13.90', '16.70')"
10-15万,俊风ER30,"('14.98', '14.98')"
10-15万,国机智骏GX5,"('11.58', '13.98')"
10-15万,拓陆者胜途,"('8.88', '12.48')"
10-15万,易至EX5,"('8.98', '13.28')"
10-15万,奔腾T55,"('10.49', '11.29')"
10-15万,上汽MAXUS EV,"('12.87', '18.17')"
10-15万,威霆,暂无报价
10-15万,凯锐800,"('12.08', '12.91')"
10-15万,中欧斯宾特,暂无报价
10-15万,远程E5,"('10.88', '10.88')"
10-15万,大运皮卡,"('8.98', '12.63')"
10-15万,启能GEV 1,"('14.79', '15.59')"
10-15万,好运2号,"('11.68', '11.88')"
10-15万,启腾M70EV,"('9.58', '13.28')"
10-15万,开沃D07创业者,"('10.48', '10.88')"
15-20万,高尔夫,"('12.98', '18.02')"
15-20万,哈弗H6,"('9.80', '15.49')"
15-20万,昂科威,"('18.99', '27.99')"
15-20万,君威,"('17.28', '25.98')"
15-20万,宝来,"('9.88', '15.70')"
15-20万,朗逸,"('9.99', '16.19')"
15-20万,速腾,"('12.89', '19.29')"
15-20万,凯美瑞,"('17.98', '27.98')"
15-20万,探岳,"('18.59', '31.39')"
15-20万,雅阁,"('17.98', '25.98')"
15-20万,迈腾,"('18.69', '30.99')"
15-20万,RAV4荣放,"('17.48', '25.88')"
15-20万,瑞虎8,"('8.88', '15.99')"
15-20万,长安CS75 PLU,"('10.69', '15.49')"
15-20万,本田CR-V,"('16.98', '27.68')"
15-20万,帕萨特,"('18.59', '28.29')"
15-20万,奇骏,"('18.88', '27.33')"
15-20万,思域,"('11.99', '16.99')"
15-20万,奥迪A3,"('19.32', '24.97')"
15-20万,探界者,"('16.99', '24.59')"
15-20万,途岳,"('16.58', '22.38')"
15-20万,亚洲龙,"('19.98', '28.98')"
15-20万,福克斯,"('10.88', '15.38')"
15-20万,领克05,"('17.58', '23.58')"
15-20万,威兰达,"('17.18', '24.18')"
15-20万,卡罗拉,"('10.98', '15.98')"
15-20万,明锐,"('9.99', '16.14')"
15-20万,领克01,"('15.08', '20.18')"
15-20万,传祺M8,"('17.98', '26.48')"
15-20万,皓影,"('16.98', '25.28')"
15-20万,T-ROC探歌,"('13.58', '20.49')"
15-20万,雷凌,"('11.38', '15.28')"
15-20万,探影,"('11.49', '16.09')"
15-20万,传祺GS4,"('8.98', '15.18')"
15-20万,红旗HS5,"('18.38', '24.98')"
15-20万,领克03,"('11.38', '24.88')"
15-20万,锐际,"('16.98', '21.88')"
15-20万,北京现代ix35,"('11.99', '16.19')"
15-20万,昂科拉,"('12.59', '15.59')"
15-20万,天籁,"('17.98', '26.98')"
15-20万,传祺M6,"('10.98', '15.98')"
15-20万,逍客,"('15.49', '18.89')"
15-20万,哈弗大狗,"('11.99', '15.59')"
15-20万,迈锐宝XL,"('15.49', '21.99')"
15-20万,哈弗F7,"('11.18', '15.18')"
15-20万,别克GL6,"('13.99', '16.99')"
15-20万,缤智,"('12.78', '17.68')"
15-20万,途铠,"('11.49', '15.99')"
15-20万,马自达3 昂克赛拉,"('11.59', '18.99')"
15-20万,本田XR-V,"('12.79', '17.59')"
15-20万,欧蓝德,"('15.98', '22.58')"
15-20万,威朗,"('15.29', '18.29')"
15-20万,MINI,"('19.08', '37.68')"
15-20万,微蓝6,"('15.98', '19.98')"
15-20万,瑞虎8 PLUS,"('12.49', '15.99')"
15-20万,领克02,"('11.98', '18.88')"
15-20万,传祺GS8,"('15.58', '26.28')"
15-20万,昂科拉GX,"('15.59', '18.59')"
15-20万,全顺,"('12.64', '19.80')"
15-20万,红旗H5,"('14.58', '19.08')"
15-20万,WEY VV7,"('16.98', '19.28')"
15-20万,北京BJ40,"('15.98', '26.99')"
15-20万,WEY VV6,"('14.80', '17.50')"
15-20万,途安,"('15.18', '19.48')"
15-20万,马自达CX-4,"('14.88', '21.58')"
15-20万,宝马1系,"('19.88', '26.38')"
15-20万,博瑞,"('13.68', '17.98')"
15-20万,途达,"('16.98', '24.83')"
15-20万,凌派,"('9.98', '16.98')"
15-20万,菲斯塔,"('11.98', '15.48')"
15-20万,依维柯欧胜,"('13.59', '32.59')"
15-20万,自由光,"('17.98', '31.98')"
15-20万,丰田C-HR,"('14.18', '18.08')"
15-20万,蒙迪欧,"('19.28', '27.98')"
15-20万,柯迪亚克,"('17.79', '24.79')"
15-20万,阿特兹,"('17.58', '24.78')"
15-20万,凌渡,"('14.29', '19.69')"
15-20万,翼虎,"('16.98', '24.98')"
15-20万,上汽大通MAXUS ,"('13.98', '22.98')"
15-20万,天逸 C5 AIRC,"('14.97', '23.87')"
15-20万,马自达CX-5,"('17.98', '24.58')"
15-20万,炮,"('9.78', '20.78')"
15-20万,标致508,"('15.97', '22.57')"
15-20万,柯珞克,"('12.99', '15.99')"
15-20万,捷途X95,"('9.99', '15.29')"
15-20万,坦克300,"('17.58', '22.00')"
15-20万,奕泽IZOA,"('14.58', '17.68')"
15-20万,马自达CX-30,"('12.99', '19.99')"
15-20万,奔腾T99,"('14.99', '18.99')"
15-20万,标致5008,"('18.77', '27.37')"
15-20万,上汽大通MAXUS ,"('10.28', '24.56')"
15-20万,指南者,"('13.98', '22.98')"
15-20万,沃兰多,"('11.49', '15.99')"
15-20万,新世代全顺,"('16.36', '27.58')"
15-20万,名图,"('13.38', '16.98')"
15-20万,上汽大通MAXUS ,"('14.78', '24.96')"
15-20万,荣威RX5 MAX,"('11.88', '18.98')"
15-20万,长安欧尚科赛Pro,"('8.59', '15.29')"
15-20万,唐新能源,"('19.78', '31.48')"
15-20万,速派,"('15.49', '22.99')"
15-20万,上汽大通MAXUS ,"('8.68', '16.70')"
15-20万,星越,"('13.58', '19.58')"
15-20万,标致408,"('11.77', '16.97')"
15-20万,享域,"('9.98', '16.69')"
15-20万,图雅诺,"('9.57', '22.98')"
15-20万,小鹏汽车G3,"('14.68', '19.98')"
15-20万,标致4008,"('16.97', '24.37')"
15-20万,高尔夫·嘉旅,"('12.88', '19.28')"
15-20万,途胜,"('16.99', '21.99')"
15-20万,哈弗H7,"('14.20', '18.00')"
15-20万,哈弗F7x,"('11.99', '15.49')"
15-20万,秦Pro新能源,"('13.69', '20.69')"
15-20万,唐,"('12.99', '16.99')"
15-20万,荣威RX8,"('16.88', '22.88')"
15-20万,领界,"('10.98', '16.48')"
15-20万,星途LX,"('10.99', '15.09')"
15-20万,驭胜S350,"('12.18', '20.18')"
15-20万,长安CS95,"('16.59', '21.39')"
15-20万,观致3,"('9.89', '15.39')"
15-20万,上汽大通MAXUS ,"('18.68', '28.98')"
15-20万,捷途X70S,"('7.69', '15.89')"
15-20万,依维柯得意,"('11.84', '17.00')"
15-20万,INSPIRE,"('18.28', '24.98')"
15-20万,瑞风M4,"('9.98', '15.98')"
15-20万,雪铁龙C6,"('18.99', '27.59')"
15-20万,星途TXL,"('13.59', '17.59')"
15-20万,上汽MAXUS T6,"('8.98', '21.38')"
15-20万,起亚KX5,"('15.48', '18.18')"
15-20万,Aion S,"('13.98', '20.58')"
15-20万,途睿欧,"('17.69', '27.58')"
15-20万,mu-X牧游侠,"('17.88', '28.48')"
15-20万,索纳塔,"('16.18', '20.58')"
15-20万,中华V7,"('10.87', '15.99')"
15-20万,奕歌,"('12.98', '18.58')"
15-20万,传祺GA6,"('10.88', '16.88')"
15-20万,宋MAX新能源,"('14.99', '19.98')"
15-20万,AION V,"('15.96', '23.96')"
15-20万,C-TREK蔚领,"('11.39', '15.89')"
15-20万,传祺GS5,"('10.98', '16.98')"
15-20万,观致5,"('13.88', '16.38')"
15-20万,微蓝7,"('17.98', '19.98')"
15-20万,K5凯酷,"('16.18', '20.58')"
15-20万,自由侠,"('12.98', '19.08')"
15-20万,名爵HS,"('10.98', '16.98')"
15-20万,长安CS85 COU,"('11.99', '16.99')"
15-20万,锐骐6,"('8.98', '17.98')"
15-20万,MG领航,"('9.98', '15.98')"
15-20万,宋Pro新能源,"('16.98', '21.98')"
15-20万,荣威Ei5,"('12.88', '16.11')"
15-20万,纳瓦拉,"('13.98', '19.98')"
15-20万,斯巴鲁XV,"('19.18', '23.38')"
15-20万,荣威iMAX8,"('18.88', '25.38')"
15-20万,风行T5L,"('7.99', '17.69')"
15-20万,D-MAX,"('14.48', '22.48')"
15-20万,域虎7,"('10.78', '17.63')"
15-20万,秦新能源,"('12.99', '20.99')"
15-20万,帝豪GSe,"('10.99', '15.99')"
15-20万,观致7,"('10.98', '15.98')"
15-20万,爱驰U5,"('16.69', '29.21')"
