价格区间,车型,报价(单位：万)
15-20万,上汽大通MAXUS ,"('8.98', '20.48')"
15-20万,长安欧尚科尚,"('7.98', '16.08')"
15-20万,宝沃BX5,"('12.98', '15.58')"
15-20万,阁瑞斯,"('8.88', '27.78')"
15-20万,域虎9,"('13.48', '21.18')"
15-20万,威马EX5,"('14.68', '19.88')"
15-20万,宝沃BX7,"('16.98', '30.28')"
15-20万,创界,"('13.99', '17.99')"
15-20万,柯迪亚克GT,"('17.99', '25.29')"
15-20万,几何C,"('12.98', '18.28')"
15-20万,荣威RX5新能源,"('15.58', '29.68')"
15-20万,风光ix7,"('12.59', '21.59')"
15-20万,启辰T90,"('11.88', '15.48')"
15-20万,传祺GA8,"('15.68', '22.68')"
15-20万,瑞风M5,"('13.95', '16.65')"
15-20万,BEIJING-EX,"('11.99', '16.39')"
15-20万,R汽车 ER6,"('16.28', '20.08')"
15-20万,瑞风,"('9.99', '16.38')"
15-20万,拓陆者驭途,"('10.48', '19.58')"
15-20万,BEIJING-EU,"('12.99', '17.19')"
15-20万,起亚KX7,"('17.98', '27.68')"
15-20万,江淮T8,"('8.88', '16.28')"
15-20万,云逸 C4 AIRC,"('10.68', '15.68')"
15-20万,黄海N3,"('10.58', '19.68')"
15-20万,星锐,"('10.97', '21.78')"
15-20万,BEIJING-EX,"('16.99', '19.99')"
15-20万,比亚迪e3,"('10.38', '16.48')"
15-20万,汉腾X7,"('7.88', '15.68')"
15-20万,WEY VV7 GT,"('19.18', '25.88')"
15-20万,勇士,"('9.98', '16.17')"
15-20万,荣威i6新能源,"('14.78', '20.18')"
15-20万,奇瑞蚂蚁,"('14.98', '18.98')"
15-20万,福克斯Active,"('13.98', '15.38')"
15-20万,广汽丰田iA5,"('16.98', '19.28')"
15-20万,上汽MAXUS D9,"('17.98', '27.68')"
15-20万,风行M7,"('12.69', '22.99')"
15-20万,传祺GE3,"('15.48', '18.08')"
15-20万,哪吒U,"('13.98', '19.98')"
15-20万,领克01新能源,"('19.27', '23.88')"
15-20万,欧拉iQ,"('11.48', '15.03')"
15-20万,领克03新能源,"('16.87', '19.87')"
15-20万,帝豪新能源,"('13.58', '15.98')"
15-20万,高尔夫·纯电,"('14.77', '16.88')"
15-20万,广汽本田VE-1,"('15.98', '18.38')"
15-20万,拓陆者,"('7.78', '19.88')"
15-20万,御风,"('10.38', '28.58')"
15-20万,风景G9,"('9.98', '19.00')"
15-20万,吉姆尼(进口),"('14.18', '16.08')"
15-20万,畅巡,"('15.99', '17.99')"
15-20万,ID.4 CROZZ,"('19.99', '27.99')"
15-20万,旷世,"('15.98', '24.38')"
15-20万,铃拓,"('11.18', '15.48')"
15-20万,几何A,"('15.00', '19.00')"
15-20万,荣威RX5 MAX新,"('19.58', '23.58')"
15-20万,景逸S50,"('4.89', '15.18')"
15-20万,长安CS75 PHE,"('17.58', '20.78')"
15-20万,威马EX6,"('18.99', '28.88')"
15-20万,领克02新能源,"('16.97', '19.97')"
15-20万,嘉际新能源,"('15.98', '19.28')"
15-20万,金杯大海狮,"('9.48', '25.28')"
15-20万,博瑞新能源,"('16.98', '18.38')"
15-20万,名爵6新能源,"('14.58', '17.58')"
15-20万,昂希诺纯电动,"('17.28', '19.88')"
15-20万,ENCINO 昂希诺,"('12.99', '15.59')"
15-20万,星越新能源,"('17.58', '21.68')"
15-20万,长安新能源CS55 ,"('15.99', '20.09')"
15-20万,领主,"('8.48', '19.88')"
15-20万,东风本田X-NV,"('16.98', '17.98')"
15-20万,传祺GS4新能源,"('16.38', '19.38')"
15-20万,依维柯褒迪,"('14.39', '32.49')"
15-20万,BEIJING-EU,"('15.99', '17.59')"
15-20万,北京F40,"('14.98', '16.99')"
15-20万,艾瑞泽5e,"('15.98', '15.98')"
15-20万,菲斯塔纯电动,"('17.38', '19.88')"
15-20万,捷途X70S EV,"('14.98', '16.98')"
15-20万,上汽大通MAXUS ,"('16.58', '23.03')"
15-20万,零跑S01,"('11.99', '15.09')"
15-20万,风景G5,"('7.47', '15.39')"
15-20万,零跑C11,"('15.98', '19.98')"
15-20万,东风风神E70,"('13.58', '15.98')"
15-20万,上汽大通MAXUS ,"('9.38', '19.00')"
15-20万,帝豪GL新能源,"('15.28', '16.48')"
15-20万,江淮iEVS4,"('13.95', '15.95')"
15-20万,奔腾B30EV,"('18.98', '18.98')"
15-20万,黄海N2,"('7.28', '16.58')"
15-20万,九龙A4,"('12.18', '17.88')"
15-20万,启辰T60EV,"('16.88', '18.18')"
15-20万,艾瑞泽e,"('10.98', '15.48')"
15-20万,奔腾E01,"('19.68', '22.88')"
15-20万,启辰D60EV,"('15.01', '17.88')"
15-20万,领动插电混动,"('15.78', '17.88')"
15-20万,名爵HS新能源,"('18.98', '21.98')"
15-20万,星途揽月,"('16.89', '22.99')"
15-20万,东南DX3新能源,"('17.15', '19.15')"
15-20万,菱智M5EV,"('15.79', '16.99')"
20-35万,别克GL8,"('23.29', '52.99')"
20-35万,昂科威,"('18.99', '27.99')"
20-35万,昂科旗,"('27.99', '37.99')"
20-35万,君威,"('17.28', '25.98')"
20-35万,君越,"('21.98', '28.98')"
20-35万,凯美瑞,"('17.98', '27.98')"
20-35万,探岳,"('18.59', '31.39')"
20-35万,奥迪A4L,"('30.58', '39.68')"
20-35万,雅阁,"('17.98', '25.98')"
20-35万,迈腾,"('18.69', '30.99')"
20-35万,汉兰达,"('23.98', '32.58')"
20-35万,RAV4荣放,"('17.48', '25.88')"
20-35万,途观L,"('21.58', '31.18')"
20-35万,宝马3系,"('29.39', '40.99')"
20-35万,昂科威S,"('21.99', '27.99')"
20-35万,凯迪拉克XT4,"('25.97', '39.17')"
20-35万,奔驰C级,"('30.78', '47.48')"
20-35万,本田CR-V,"('16.98', '27.68')"
20-35万,凯迪拉克CT5,"('27.97', '34.17')"
20-35万,奥迪Q3,"('27.18', '36.18')"
20-35万,冠道,"('22.00', '33.28')"
20-35万,凯迪拉克XT5,"('32.97', '47.27')"
20-35万,帕萨特,"('18.59', '28.29')"
20-35万,途昂,"('29.99', '45.99')"
20-35万,奇骏,"('18.88', '27.33')"
20-35万,奥迪A3,"('19.32', '24.97')"
20-35万,探界者,"('16.99', '24.59')"
20-35万,途岳,"('16.58', '22.38')"
20-35万,宝马X1,"('27.88', '33.98')"
20-35万,亚洲龙,"('19.98', '28.98')"
20-35万,领克05,"('17.58', '23.58')"
20-35万,冒险家,"('24.68', '34.58')"
20-35万,威兰达,"('17.18', '24.18')"
20-35万,奔驰GLB,"('29.28', '35.48')"
20-35万,奥德赛,"('22.98', '37.68')"
20-35万,领克01,"('15.08', '20.18')"
20-35万,雷克萨斯ES,"('29.00', '48.30')"
20-35万,锐界,"('22.98', '38.98')"
20-35万,传祺M8,"('17.98', '26.48')"
20-35万,皓影,"('16.98', '25.28')"
20-35万,探险者,"('30.98', '39.98')"
20-35万,T-ROC探歌,"('13.58', '20.49')"
20-35万,红旗HS5,"('18.38', '24.98')"
20-35万,领克03,"('11.38', '24.88')"
20-35万,锐际,"('16.98', '21.88')"
20-35万,凯迪拉克CT4,"('23.97', '25.97')"
20-35万,天籁,"('17.98', '26.98')"
20-35万,沃尔沃XC40,"('26.48', '38.58')"
20-35万,开拓者,"('22.99', '32.99')"
20-35万,迈锐宝XL,"('15.49', '21.99')"
20-35万,奥迪Q2L,"('21.88', '26.85')"
20-35万,哈弗H9,"('20.98', '27.28')"
20-35万,欧蓝德,"('15.98', '22.58')"
20-35万,沃尔沃S60,"('28.69', '38.09')"
20-35万,MINI,"('19.08', '37.68')"
20-35万,艾力绅,"('24.98', '32.88')"
20-35万,一汽-大众CC,"('24.68', '30.18')"
20-35万,雷克萨斯NX,"('30.40', '54.20')"
20-35万,传祺GS8,"('15.58', '26.28')"
20-35万,威然,"('28.68', '39.98')"
20-35万,途昂X,"('28.99', '43.99')"
20-35万,北京BJ40,"('15.98', '26.99')"
20-35万,宝马X2,"('26.68', '32.98')"
20-35万,辉昂,"('34.00', '63.90')"
20-35万,马自达CX-4,"('14.88', '21.58')"
20-35万,大指挥官,"('23.98', '40.98')"
20-35万,宝马1系,"('19.88', '26.38')"
20-35万,胜达,"('20.28', '27.28')"
20-35万,途达,"('16.98', '24.83')"
20-35万,依维柯欧胜,"('13.59', '32.59')"
20-35万,森林人,"('22.38', '28.58')"
20-35万,自由光,"('17.98', '31.98')"
20-35万,蒙迪欧,"('19.28', '27.98')"
20-35万,柯迪亚克,"('17.79', '24.79')"
20-35万,阿特兹,"('17.58', '24.78')"
20-35万,奔驰A级,"('21.18', '29.98')"
20-35万,红旗H9,"('30.98', '53.98')"
20-35万,翼虎,"('16.98', '24.98')"
20-35万,上汽大通MAXUS ,"('13.98', '22.98')"
20-35万,天逸 C5 AIRC,"('14.97', '23.87')"
20-35万,马自达CX-5,"('17.98', '24.58')"
20-35万,炮,"('9.78', '20.78')"
20-35万,红旗HS7,"('27.58', '45.98')"
20-35万,标致508,"('15.97', '22.57')"
20-35万,坦克300,"('17.58', '22.00')"
20-35万,楼兰,"('23.88', '37.58')"
20-35万,标致5008,"('18.77', '27.37')"
20-35万,上汽大通MAXUS ,"('10.28', '24.56')"
20-35万,指南者,"('13.98', '22.98')"
20-35万,金牛座,"('22.89', '28.89')"
20-35万,新世代全顺,"('16.36', '27.58')"
20-35万,Model 3,"('26.57', '41.98')"
20-35万,上汽大通MAXUS ,"('14.78', '24.96')"
20-35万,撼路者,"('27.58', '37.48')"
20-35万,唐新能源,"('19.78', '31.48')"
20-35万,速派,"('15.49', '22.99')"
20-35万,林肯MKC,"('27.98', '37.68')"
20-35万,探岳X,"('23.58', '29.58')"
20-35万,雷克萨斯UX,"('25.90', '38.70')"
20-35万,汉,"('21.98', '27.95')"
20-35万,威霆,"('28.98', '34.18')"
20-35万,英菲尼迪QX50,"('33.38', '46.98')"
20-35万,本田UR-V,"('24.68', '32.98')"
20-35万,图雅诺,"('9.57', '22.98')"
20-35万,标致4008,"('16.97', '24.37')"
20-35万,傲虎,"('27.08', '33.08')"
20-35万,林肯MKZ,"('25.58', '36.98')"
20-35万,途胜,"('16.99', '21.99')"
20-35万,英菲尼迪Q50L,"('26.48', '38.98')"
20-35万,奔驰B级,"('23.98', '33.18')"
20-35万,奔驰GLA,"('27.68', '33.28')"
20-35万,捷豹XEL,"('28.98', '38.06')"
20-35万,雷克萨斯CT,"('21.50', '28.20')"
20-35万,秦Pro新能源,"('13.69', '20.69')"
20-35万,荣威RX8,"('16.88', '22.88')"
20-35万,驭胜S350,"('12.18', '20.18')"
20-35万,沃尔沃V60,"('30.43', '43.99')"
20-35万,长安CS95,"('16.59', '21.39')"
20-35万,上汽大通MAXUS ,"('18.68', '28.98')"
20-35万,INSPIRE,"('18.28', '24.98')"
20-35万,奔驰CLA,"('29.98', '38.58')"
20-35万,讴歌RDX,"('32.80', '46.00')"
20-35万,雪铁龙C6,"('18.99', '27.59')"
20-35万,奔驰C级(进口),"('34.68', '45.98')"
20-35万,理想ONE,"('32.80', '32.80')"
20-35万,上汽MAXUS T6,"('8.98', '21.38')"
20-35万,小鹏汽车P7,"('22.99', '40.99')"
20-35万,Aion S,"('13.98', '20.58')"
20-35万,途睿欧,"('17.69', '27.58')"
20-35万,mu-X牧游侠,"('17.88', '28.48')"
20-35万,宝马2系,"('26.38', '33.98')"
20-35万,索纳塔,"('16.18', '20.58')"
20-35万,MINI COUNT,"('24.88', '34.38')"
20-35万,夏朗,"('24.68', '34.38')"
20-35万,AION V,"('15.96', '23.96')"
20-35万,讴歌CDX,"('22.98', '34.98')"
20-35万,奥迪A4(进口),"('34.18', '42.78')"
20-35万,K5凯酷,"('16.18', '20.58')"
20-35万,北京BJ80,"('29.80', '39.80')"
20-35万,帕里斯帝,"('29.88', '32.98')"
20-35万,红旗H7,"('25.28', '31.78')"
20-35万,宋Pro新能源,"('16.98', '21.98')"
20-35万,斯巴鲁XV,"('19.18', '23.38')"
20-35万,荣威iMAX8,"('18.88', '25.38')"
20-35万,D-MAX,"('14.48', '22.48')"
20-35万,秦新能源,"('12.99', '20.99')"
20-35万,MINI CLUBM,"('24.58', '32.58')"
20-35万,爱驰U5,"('16.69', '29.21')"
20-35万,奔驰A级(进口),"('23.28', '31.28')"
20-35万,上汽大通MAXUS ,"('8.98', '20.48')"
20-35万,途观X,"('24.59', '30.59')"
20-35万,阁瑞斯,"('8.88', '27.78')"
20-35万,域虎9,"('13.48', '21.18')"
20-35万,卡罗拉双擎E+,"('20.78', '23.08')"
20-35万,宝马1系(进口),"('23.18', '42.98')"
20-35万,宝沃BX7,"('16.98', '30.28')"
20-35万,柯迪亚克GT,"('17.99', '25.29')"
20-35万,荣威RX5新能源,"('15.58', '29.68')"
20-35万,风光ix7,"('12.59', '21.59')"
20-35万,穿越者中东版,"('29.80', '52.00')"
20-35万,传祺GA8,"('15.68', '22.68')"
20-35万,捷豹E-PACE,"('28.18', '38.58')"
20-35万,途观L新能源,"('26.58', '29.28')"
20-35万,DS 7,"('22.99', '31.99')"
20-35万,R汽车 ER6,"('16.28', '20.08')"
20-35万,腾势X,"('28.98', '35.78')"
20-35万,丰田86,"('27.78', '28.78')"
20-35万,雷凌双擎E+,"('20.38', '21.88')"
20-35万,起亚KX7,"('17.98', '27.68')"
20-35万,奥迪Q2L e-tr,"('22.68', '23.73')"
20-35万,力狮,"('20.48', '24.78')"
20-35万,帕萨特新能源,"('24.39', '25.39')"
20-35万,高尔夫(进口),"('20.98', '37.28')"
20-35万,野马加版,"('35.00', '52.00')"
20-35万,马自达CX-8,"('25.88', '33.08')"
20-35万,蔚揽,"('24.38', '39.28')"
20-35万,丰田C-HR EV,"('22.58', '24.98')"
20-35万,星锐,"('10.97', '21.78')"
20-35万,Aion LX(埃安,"('22.96', '34.96')"
20-35万,WEY VV7 GT,"('19.18', '25.88')"
20-35万,帕杰罗·劲畅(进口),"('27.98', '30.98')"
20-35万,Tiguan,"('23.98', '35.08')"
20-35万,荣威i6新能源,"('14.78', '20.18')"
20-35万,上汽MAXUS D9,"('17.98', '27.68')"
20-35万,风行M7,"('12.69', '22.99')"
20-35万,宝马2系多功能旅行车,"('26.38', '29.98')"
20-35万,领克01新能源,"('19.27', '23.88')"
20-35万,雷克萨斯IS,"('29.80', '41.30')"
20-35万,帕杰罗中东版,"('32.80', '42.00')"
20-35万,御风,"('10.38', '28.58')"
20-35万,酷威,"('27.49', '37.29')"
20-35万,宝马i3,"('30.58', '30.58')"
20-35万,ID.4 CROZZ,"('19.99', '27.99')"
20-35万,旷世,"('15.98', '24.38')"
20-35万,宝马X2(进口),"('28.18', '36.98')"
20-35万,探岳GTE插电混动,"('24.98', '25.98')"
20-35万,荣威RX5 MAX新,"('19.58', '23.58')"
20-35万,长安CS75 PHE,"('17.58', '20.78')"
20-35万,威马EX6,"('18.99', '28.88')"
20-35万,WEY VV7新能源,"('21.98', '23.98')"
20-35万,荣威MARVEL X,"('26.88', '30.88')"
20-35万,金杯大海狮,"('9.48', '25.28')"
20-35万,C4 PICASSO,"('21.68', '26.58')"
20-35万,Espace,"('25.88', '32.88')"
20-35万,奥迪A3(进口),"('33.58', '33.58')"
20-35万,星越新能源,"('17.58', '21.68')"
20-35万,长安新能源CS55 ,"('15.99', '20.09')"
20-35万,依维柯褒迪,"('14.39', '32.49')"
20-35万,索纳塔插电混动,"('22.28', '25.68')"
20-35万,MINI JCW,"('32.58', '36.18')"
20-35万,轩逸·纯电,"('23.80', '25.40')"
20-35万,马自达MX-5,"('33.90', '34.00')"
20-35万,迈腾新能源,"('25.39', '26.89')"
20-35万,起亚K5新能源,"('22.28', '23.98')"
20-35万,WEY VV7 GT,"('25.68', '25.68')"
20-35万,ARCFOX αT,"('24.19', '31.99')"
20-35万,野马美版,"('32.80', '36.00')"
20-35万,奕泽E进擎,"('22.58', '25.38')"
20-35万,沃尔沃XC40(进口,"('31.59', '40.39')"
20-35万,上汽大通MAXUS ,"('16.58', '23.03')"
20-35万,福克斯(进口),"('24.28', '37.88')"
20-35万,天逸 C5 AIRC,"('23.47', '26.47')"
20-35万,红旗E-HS3,"('22.58', '26.58')"
20-35万,菲亚特500,"('20.98', '26.18')"
20-35万,奔腾E01,"('19.68', '22.88')"
20-35万,赛力斯SF5,"('24.90', '33.90')"
20-35万,帕杰罗・劲畅中东版,"('28.00', '28.00')"
20-35万,HYCAN 007,"('25.98', '40.00')"
20-35万,宇通CL6,"('27.98', '27.98')"
20-35万,巴博斯 smart ,"('20.78', '30.19')"
20-35万,名爵HS新能源,"('18.98', '21.98')"
20-35万,星途揽月,"('16.89', '22.99')"
20-35万,高尔夫新能源(进口),"('24.08', '24.08')"
20-35万,帕萨特墨版,"('26.80', '28.80')"
20-35万,依维柯Ouba,"('27.57', '34.69')"
20-35万,航海家,"('32.88', '47.88')"
20-35万,本田CR-V新能源,"('27.38', '29.98')"
35-50万,别克GL8,"('23.29', '52.99')"
35-50万,昂科旗,"('27.99', '37.99')"
35-50万,宝马5系,"('42.69', '54.99')"
35-50万,奥迪A4L,"('30.58', '39.68')"
35-50万,奥迪A6L,"('41.98', '65.38')"
35-50万,宝马3系,"('29.39', '40.99')"
35-50万,奥迪Q5L,"('38.78', '49.80')"
35-50万,凯迪拉克XT4,"('25.97', '39.17')"
35-50万,奔驰GLC,"('39.48', '58.78')"
35-50万,奔驰C级,"('30.78', '47.48')"
35-50万,宝马X3,"('38.98', '47.98')"
35-50万,奔驰E级,"('43.08', '64.28')"
35-50万,奥迪Q3,"('27.18', '36.18')"
35-50万,沃尔沃XC60,"('36.29', '47.09')"
35-50万,凯迪拉克XT5,"('32.97', '47.27')"
35-50万,途昂,"('29.99', '45.99')"
35-50万,凯迪拉克XT6,"('38.97', '55.27')"
35-50万,奔驰GLB,"('29.28', '35.48')"
35-50万,奥德赛,"('22.98', '37.68')"
35-50万,雷克萨斯ES,"('29.00', '48.30')"
35-50万,锐界,"('22.98', '38.98')"
35-50万,探险者,"('30.98', '39.98')"
35-50万,雷克萨斯RX,"('39.00', '81.00')"
35-50万,凯迪拉克CT6,"('37.97', '48.97')"
35-50万,沃尔沃XC40,"('26.48', '38.58')"
35-50万,沃尔沃S90,"('37.29', '50.59')"
35-50万,沃尔沃S60,"('28.69', '38.09')"
35-50万,MINI,"('19.08', '37.68')"
35-50万,雷克萨斯NX,"('30.40', '54.20')"
35-50万,奥迪A5,"('37.18', '55.18')"
35-50万,威然,"('28.68', '39.98')"
35-50万,途昂X,"('28.99', '43.99')"
35-50万,辉昂,"('34.00', '63.90')"
35-50万,大指挥官,"('23.98', '40.98')"
35-50万,红旗H9,"('30.98', '53.98')"
35-50万,奔驰E级(进口),"('42.58', '70.78')"
35-50万,红旗HS7,"('27.58', '45.98')"
35-50万,航海家(进口),"('38.88', '51.88')"
35-50万,楼兰,"('23.88', '37.58')"
35-50万,宝马4系,"('35.98', '61.68')"
35-50万,牧马人,"('42.99', '55.99')"
35-50万,Model 3,"('26.57', '41.98')"
35-50万,普拉多中东版,"('45.50', '85.80')"
35-50万,撼路者,"('27.58', '37.48')"
35-50万,宝马5系(进口),"('42.39', '60.39')"
35-50万,林肯MKC,"('27.98', '37.68')"
35-50万,发现运动版,"('35.68', '45.58')"
35-50万,宝马X4,"('45.59', '58.59')"
35-50万,雷克萨斯UX,"('25.90', '38.70')"
35-50万,蔚来ES6,"('35.80', '52.60')"
35-50万,英菲尼迪QX50,"('33.38', '46.98')"
35-50万,捷豹XFL,"('37.58', '57.88')"
35-50万,林肯MKZ,"('25.58', '36.98')"
35-50万,英菲尼迪Q50L,"('26.48', '38.98')"
35-50万,塞纳加版,"('48.00', '69.80')"
35-50万,捷豹XEL,"('28.98', '38.06')"
35-50万,宝马3系GT,"('35.98', '43.98')"
35-50万,奥迪S4,"('45.98', '46.88')"
35-50万,揽胜极光,"('35.58', '50.58')"
35-50万,奥迪A6(进口),"('44.98', '56.98')"
35-50万,沃尔沃V60,"('30.43', '43.99')"
35-50万,蔚来ES8,"('46.80', '62.40')"
35-50万,奔驰CLA,"('29.98', '38.58')"
35-50万,林肯大陆,"('36.08', '55.58')"
35-50万,讴歌RDX,"('32.80', '46.00')"
35-50万,奔驰C级(进口),"('34.68', '45.98')"
35-50万,小鹏汽车P7,"('22.99', '40.99')"
35-50万,奔驰V级,"('47.18', '65.18')"
35-50万,奥迪A4(进口),"('34.18', '42.78')"
35-50万,探险者（进口）,"('41.28', '59.18')"
35-50万,北京BJ80,"('29.80', '39.80')"
35-50万,Mustang,"('36.98', '39.58')"
35-50万,奥迪TT,"('45.38', '53.28')"
35-50万,捷豹XF,"('45.58', '58.28')"
35-50万,捷豹F-PACE,"('47.58', '78.78')"
35-50万,蔚来EC6,"('36.80', '52.60')"
35-50万,宝马Z4,"('48.88', '63.38')"
35-50万,奔驰GLC(进口),"('45.88', '59.88')"
35-50万,公羊加版,"('43.80', '72.00')"
35-50万,Giulia,"('37.98', '125.98')"
35-50万,沃尔沃V90,"('44.39', '55.69')"
35-50万,迈特威,"('42.80', '101.00')"
35-50万,Stelvio,"('45.68', '127.98')"
35-50万,塞纳美版,"('43.80', '58.80')"
35-50万,宝马5系新能源,"('49.99', '53.69')"
35-50万,宝马1系(进口),"('23.18', '42.98')"
35-50万,英菲尼迪QX60,"('47.98', '56.98')"
35-50万,穿越者中东版,"('29.80', '52.00')"
35-50万,捷豹E-PACE,"('28.18', '38.58')"
35-50万,奔驰A级AMG(进口,"('39.98', '57.98')"
35-50万,奥迪S3,"('36.38', '36.38')"
35-50万,英菲尼迪Q70,"('38.18', '43.98')"
35-50万,腾势X,"('28.98', '35.78')"
35-50万,高尔夫(进口),"('20.98', '37.28')"
35-50万,野马加版,"('35.00', '52.00')"
35-50万,蔚揽,"('24.38', '39.28')"
35-50万,科迈罗,"('39.99', '39.99')"
35-50万,奔驰EQC,"('49.98', '62.28')"
35-50万,奔驰A级AMG,"('39.98', '41.98')"
35-50万,宝马X1新能源,"('39.98', '39.98')"
35-50万,沃尔沃S90新能源,"('49.99', '104.39')"
35-50万,塞纳墨版,"('50.00', '64.50')"
35-50万,Tiguan,"('23.98', '35.08')"
35-50万,挑战者美版,"('43.80', '185.00')"
35-50万,雷克萨斯IS,"('29.80', '41.30')"
35-50万,帕杰罗中东版,"('32.80', '42.00')"
35-50万,英菲尼迪Q60,"('35.88', '37.78')"
35-50万,英菲尼迪Q50,"('38.98', '54.98')"
35-50万,坦途加版,"('48.50', '69.00')"
35-50万,奔驰CLA AMG,"('43.98', '59.98')"
35-50万,酷威,"('27.49', '37.29')"
35-50万,奔驰V级墨版,"('49.80', '79.80')"
35-50万,凯路威,"('35.50', '38.20')"
35-50万,宝马X2(进口),"('28.18', '36.98')"
35-50万,捷豹XE,"('43.68', '44.80')"
35-50万,宝马iX3,"('46.99', '50.99')"
35-50万,雷克萨斯RC,"('44.60', '49.60')"
35-50万,奔驰GLC墨版,"('45.90', '56.80')"
35-50万,公羊美版,"('45.80', '76.80')"
35-50万,凌特,"('37.60', '49.30')"
35-50万,MINI JCW C,"('39.98', '42.98')"
35-50万,MINI JCW,"('32.58', '36.18')"
35-50万,福特F-150加版,"('45.80', '58.00')"
35-50万,MINI JCW C,"('38.48', '40.98')"
35-50万,海拉克斯中东版,"('35.80', '45.80')"
35-50万,沃尔沃S60新能源,"('39.99', '46.19')"
35-50万,野马美版,"('32.80', '36.00')"
35-50万,大捷龙(进口),"('49.69', '49.69')"
35-50万,沃尔沃XC40(进口,"('31.59', '40.39')"
35-50万,雷克萨斯UX新能源,"('36.20', '38.50')"
50-70万,别克GL8,"('23.29', '52.99')"
50-70万,宝马5系,"('42.69', '54.99')"
50-70万,奥迪A6L,"('41.98', '65.38')"
50-70万,宝马X5,"('69.99', '86.39')"
50-70万,奔驰GLC,"('39.48', '58.78')"
50-70万,奔驰E级,"('43.08', '64.28')"
50-70万,凯迪拉克XT6,"('38.97', '55.27')"
50-70万,雷克萨斯RX,"('39.00', '81.00')"
50-70万,奔驰GLE,"('69.98', '135.38')"
50-70万,奥迪Q7,"('68.88', '86.68')"
50-70万,沃尔沃XC90,"('63.39', '83.39')"
50-70万,沃尔沃S90,"('37.29', '50.59')"
50-70万,途锐,"('59.18', '82.18')"
50-70万,雷克萨斯NX,"('30.40', '54.20')"
50-70万,奥迪A5,"('37.18', '55.18')"
50-70万,辉昂,"('34.00', '63.90')"
50-70万,红旗H9,"('30.98', '53.98')"
50-70万,奔驰E级(进口),"('42.58', '70.78')"
50-70万,航海家(进口),"('38.88', '51.88')"
50-70万,奥迪A7,"('57.38', '70.48')"
50-70万,宝马4系,"('35.98', '61.68')"
50-70万,牧马人,"('42.99', '55.99')"
50-70万,普拉多中东版,"('45.50', '85.80')"
50-70万,飞行家,"('50.98', '75.98')"
50-70万,宝马5系(进口),"('42.39', '60.39')"
50-70万,兰德酷路泽中东版,"('69.80', '142.00')"
50-70万,Macan,"('54.50', '92.50')"
50-70万,宝马X4,"('45.59', '58.59')"
50-70万,蔚来ES6,"('35.80', '52.60')"
50-70万,保时捷718,"('54.50', '98.60')"
50-70万,捷豹XFL,"('37.58', '57.88')"
50-70万,大切诺基(进口),"('52.99', '71.49')"
50-70万,宝马6系GT,"('58.39', '68.39')"
50-70万,塞纳加版,"('48.00', '69.80')"
50-70万,发现,"('66.98', '83.78')"
