级别,车型,报价(单位：万)
MPV,奥德赛,"('22.98', '37.68')"
MPV,传祺M8,"('17.98', '26.48')"
MPV,传祺M6,"('10.98', '15.98')"
MPV,宝骏730,"('6.08', '10.88')"
MPV,别克GL6,"('13.99', '16.99')"
MPV,艾力绅,"('24.98', '32.88')"
MPV,宋MAX,"('7.99', '12.99')"
MPV,途安,"('15.18', '19.48')"
MPV,上汽大通MAXUS G10,"('13.98', '22.98')"
MPV,菱智,"('5.99', '9.99')"
MPV,五菱宏光,"('4.28', '5.88')"
MPV,新宝骏RM-5,"('7.88', '12.08')"
MPV,嘉际,暂无报价
MPV,上汽大通MAXUS G50,"('8.68', '16.70')"
MPV,威霆,"('28.98', '34.18')"
MPV,塞纳加版,"('48.00', '69.80')"
MPV,瑞风M3,"('5.98', '9.48')"
MPV,上汽大通MAXUS G20,"('18.68', '28.98')"
MPV,长安睿行M60,"('5.19', '6.52')"
MPV,瑞风M4,"('9.98', '15.98')"
MPV,五菱荣光,"('3.68', '5.38')"
MPV,途睿欧,"('17.69', '27.58')"
MPV,埃尔法,"('81.90', '87.30')"
MPV,五菱之光,"('3.23', '3.66')"
MPV,宋MAX新能源,"('14.99', '19.98')"
MPV,夏朗,"('24.68', '34.38')"
MPV,奔驰V级,"('47.18', '65.18')"
MPV,五菱荣光V,"('3.98', '4.98')"
MPV,五菱宏光V,"('4.18', '5.45')"
MPV,风光330,"('3.69', '5.19')"
MPV,迈特威,"('42.80', '101.00')"
MPV,塞纳美版,"('43.80', '58.80')"
MPV,阁瑞斯,"('8.88', '27.78')"
MPV,瑞风M5,"('13.95', '16.65')"
MPV,长安欧尚A800,"('6.59', '7.89')"
MPV,东风小康C37,"('5.18', '6.18')"
MPV,瑞风,"('9.99', '16.38')"
MPV,海狮X30L,"('4.68', '5.88')"
MPV,蒙派克E,"('7.46', '10.85')"
MPV,北汽威旺M30,"('4.48', '5.58')"
MPV,小海狮X30,"('3.39', '4.68')"
MPV,塞纳墨版,"('50.00', '64.50')"
MPV,欧诺S,"('3.99', '5.59')"
MPV,宝马2系多功能旅行车,"('26.38', '29.98')"
MPV,长安之星9,"('4.78', '5.48')"
MPV,北汽幻速H2,"('3.98', '6.68')"
MPV,凯路威,"('35.50', '38.20')"
MPV,金杯F50,"('6.25', '10.89')"
MPV,奔驰V级墨版,"('49.80', '79.80')"
MPV,雷克萨斯LM,"('116.60', '146.60')"
MPV,睿行S50,"('4.89', '7.79')"
MPV,东风小康K07S,"('2.89', '3.39')"
MPV,五菱EV50,"('10.80', '11.98')"
MPV,C4 PICASSO,"('21.68', '26.58')"
MPV,Espace,"('25.88', '32.88')"
MPV,瑞驰新能源EC35,"('10.28', '10.28')"
MPV,五菱荣光EV,"('8.38', '9.01')"
MPV,埃尔法欧版,"('125.00', '130.00')"
MPV,汉腾V7,"('7.99', '13.59')"
MPV,大捷龙(进口),"('49.69', '49.69')"
MPV,长安之星5,"('3.49', '3.94')"
MPV,奔驰V级中东版,"('58.00', '68.00')"
MPV,东风小康K05S,"('2.89', '3.59')"
MPV,斯派卡,"('4.99', '7.58')"
MPV,东风小康C56,"('5.58', '5.98')"
MPV,普瑞维亚中东版,"('35.80', '48.00')"
MPV,大捷龙PHEV(进口),"('49.69', '49.69')"
MPV,北汽威旺M20,"('3.68', '4.18')"
MPV,凯路威美版,"('78.80', '92.80')"
MPV,雷克萨斯LM欧版,"('146.00', '235.00')"
MPV,伽途ix5,"('4.19', '5.89')"
MPV,东风小康EC36,"('8.29', '10.79')"
MPV,五菱之光V,"('3.38', '3.68')"
MPV,北汽EV5,"('10.38', '11.38')"
MPV,优优,"('3.45', '4.64')"
MPV,优优EV,"('8.98', '12.28')"
MPV,乐途,"('3.58', '5.98')"
MPV,北汽幻速H2V,"('3.58', '3.98')"
MPV,北汽威旺306,"('3.18', '4.68')"
MPV,菱智M5EV,"('15.79', '16.99')"
MPV,启腾EX80,暂无报价
MPV,北汽昌河M50S,"('4.08', '5.38')"
MPV,上汽MAXUS EG10,"('30.28', '41.68')"
MPV,艾菲,"('12.98', '31.28')"
MPV,好运1号,"('12.68', '13.78')"
MPV,伽途ix7,"('5.39', '6.59')"
MPV,东风小康C35,"('5.08', '5.38')"
MPV,奔驰V级欧版,"('98.80', '138.00')"
MPV,长安之星9新能源,"('13.18', '13.98')"
MPV,东风小康C36,"('4.98', '5.28')"
MPV,风景V5,"('3.68', '5.18')"
MPV,成功V1,"('3.28', '4.00')"
MPV,海狮EV,"('12.68', '17.08')"
MPV,佳宝V77,"('3.09', '3.59')"
MPV,睿行S50T,"('6.19', '7.89')"
MPV,佳宝V80,"('4.09', '5.39')"
MPV,北汽威旺307,"('4.38', '5.18')"
MPV,上汽MAXUS EV30,"('12.87', '18.17')"
MPV,新凯威霆,"('90.80', '180.00')"
MPV,成功V2,"('3.68', '4.20')"
MPV,俊风,"('3.98', '4.55')"
MPV,威霆,暂无报价
MPV,启腾M70,"('3.39', '4.59')"
MPV,佳宝V75,"('2.89', '3.09')"
MPV,启腾M70EV,"('9.58', '13.28')"
MPV,瑞驰新能源EK05,"('5.29', '5.29')"
MPV,开沃D07创业者,"('10.48', '10.88')"
MPV,好运2号,"('11.68', '11.88')"
MPV,风景V3,"('3.28', '3.48')"
MPV,小海狮EV,"('11.58', '11.78')"
MPV,星旺,"('2.59', '2.98')"
MPV,鑫源X30L,"('5.70', '6.38')"
MPV,海豚EV,"('12.68', '14.88')"
MPV,佳宝V80新能源,"('11.98', '13.68')"
MPV,瑞驰新能源EK07S,"('7.98', '7.98')"
MPV,飞碟Q2V,"('11.28', '11.28')"
MPV,海格H4E,"('22.30', '25.80')"
MPV,九龙EM3,"('8.58', '10.18')"
MPV,铂驰依维柯房车系列,"('52.80', '79.80')"
MPV,北汽小河马,"('10.78', '11.08')"
MPV,成功BEV6,"('11.98', '11.98')"
MPV,铂驰维努斯系列V260定制商务车,"('95.80', '118.80')"
MPV,云度V01L,"('12.98', '12.98')"
MPV,风景V5新能源,"('12.66', '12.66')"
MPV,上喆V-Class,"('90.80', '102.80')"
MPV,开沃D08,"('8.80', '8.80')"
MPV,星旺CL,"('3.68', '4.58')"
MPV,优优2代,"('3.40', '4.30')"
MPV,风行CM7,暂无报价
MPV,奔驰R级,"('54.88', '72.68')"
MPV,唯雅诺,暂无报价
MPV,瑞风R3,暂无报价
MPV,开瑞K50,暂无报价
MPV,比亚迪e6,暂无报价
MPV,风光370,暂无报价
MPV,逸致,"('14.98', '18.98')"
MPV,风行S500,暂无报价
MPV,帅客,暂无报价
MPV,华晨金杯750,暂无报价
MPV,风行M6,暂无报价
MPV,瑞风M2,暂无报价
MPV,轩朗,暂无报价
MPV,日产NV200,暂无报价
MPV,比亚迪M6,"('10.39', '15.39')"
MPV,贵士,"('46.80', '46.80')"
MPV,风行F600,暂无报价
MPV,马自达5,暂无报价
MPV,马自达8,暂无报价
MPV,瑞风M6,暂无报价
MPV,普瑞维亚,"('36.38', '61.00')"
MPV,大7 MPV,暂无报价
MPV,Savana,暂无报价
MPV,浪迪,暂无报价
MPV,Sienna,"('45.00', '52.00')"
MPV,北汽昌河M70,暂无报价
MPV,北汽幻速H3F,暂无报价
MPV,英致737,暂无报价
MPV,大捷龙,暂无报价
MPV,威麟V5,暂无报价
MPV,北汽威旺M50F,暂无报价
MPV,凯领,暂无报价
MPV,森雅,暂无报价
MPV,北汽幻速H3,暂无报价
MPV,福美来F7,暂无报价
MPV,福美来MPV,"('7.98', '12.89')"
MPV,君阁,暂无报价
MPV,森雅M80,暂无报价
MPV,起亚VQ,暂无报价
MPV,英致727,暂无报价
MPV,东风风光360,暂无报价
MPV,艾瑞泽M7,暂无报价
MPV,路帝,"('21.98', '26.98')"
MPV,伽途im8,暂无报价
MPV,伽途im6,暂无报价
MPV,道达V8,暂无报价
MPV,菱绅,暂无报价
MPV,国金GM3,暂无报价
MPV,H-1辉翼,"('21.18', '24.98')"
MPV,哈飞小霸王,"('3.28', '3.78')"
MPV,丰顺,"('3.28', '4.94')"
MPV,海星A7,"('2.59', '2.59')"
MPV,星朗,暂无报价
MPV,C-MAX,暂无报价
MPV,银隆艾菲,"('43.00', '43.00')"
MPV,中意V5,"('3.87', '4.37')"
MPV,民意,"('2.89', '2.89')"
MPV,众泰V10,"('3.78', '5.08')"
MPV,海星A9,"('2.89', '3.39')"
MPV,兴顺,"('3.78', '4.58')"
MPV,福顺,"('2.78', '3.18')"
MPV,野马EC30,暂无报价
MPV,骏意,"('4.14', '4.44')"
MPV,开瑞K50EV,暂无报价
MPV,永源五星,暂无报价
SUV,哈弗H6,"('9.80', '15.49')"
SUV,昂科威,"('18.99', '27.99')"
SUV,昂科旗,"('27.99', '37.99')"
SUV,探岳,"('18.59', '31.39')"
SUV,汉兰达,"('23.98', '32.58')"
SUV,RAV4荣放,"('17.48', '25.88')"
SUV,途观L,"('21.58', '31.18')"
SUV,宝马X5,"('69.99', '86.39')"
SUV,奥迪Q5L,"('38.78', '49.80')"
SUV,昂科威S,"('21.99', '27.99')"
SUV,瑞虎8,"('8.88', '15.99')"
SUV,奔驰GLC,"('39.48', '58.78')"
SUV,本田CR-V,"('16.98', '27.68')"
SUV,宝马X3,"('38.98', '47.98')"
SUV,冠道,"('22.00', '33.28')"
SUV,沃尔沃XC60,"('36.29', '47.09')"
SUV,奥迪Q3,"('27.18', '36.18')"
SUV,凯迪拉克XT5,"('32.97', '47.27')"
SUV,途昂,"('29.99', '45.99')"
SUV,奇骏,"('18.88', '27.33')"
SUV,凯迪拉克XT6,"('38.97', '55.27')"
SUV,探界者,"('16.99', '24.59')"
SUV,捷途X90,"('7.99', '14.29')"
SUV,宝马X1,"('27.88', '33.98')"
SUV,锐界,"('22.98', '38.98')"
SUV,探险者,"('30.98', '39.98')"
SUV,雷克萨斯RX,"('39.00', '81.00')"
SUV,捷途X70 PLUS,"('7.70', '13.90')"
SUV,探影,"('11.49', '16.09')"
SUV,传祺GS4,"('8.98', '15.18')"
SUV,奔驰GLE,"('69.98', '135.38')"
SUV,领克06,"('11.86', '14.56')"
SUV,红旗HS5,"('18.38', '24.98')"
SUV,长安CS35PLUS,"('6.99', '10.99')"
SUV,北京现代ix35,"('11.99', '16.19')"
SUV,昂科拉,"('12.59', '15.59')"
SUV,宝骏510,"('5.08', '8.08')"
SUV,逍客,"('15.49', '18.89')"
SUV,奥迪Q7,"('68.88', '86.68')"
SUV,开拓者,"('22.99', '32.99')"
SUV,奥迪Q2L,"('21.88', '26.85')"
SUV,沃尔沃XC90,"('63.39', '83.39')"
SUV,缤智,"('12.78', '17.68')"
SUV,哈弗H9,"('20.98', '27.28')"
SUV,途铠,"('11.49', '15.99')"
SUV,本田XR-V,"('12.79', '17.59')"
SUV,柯米克,"('8.99', '12.59')"
SUV,长安CS75,"('10.39', '11.99')"
SUV,瑞虎5x,"('5.99', '11.09')"
SUV,捷途X70,"('6.99', '12.29')"
SUV,途锐,"('59.18', '82.18')"
SUV,捷达VS7,"('10.68', '13.68')"
SUV,雷克萨斯NX,"('30.40', '54.20')"
SUV,瑞虎8 PLUS,"('12.49', '15.99')"
SUV,传祺GS8,"('15.58', '26.28')"
SUV,智跑,"('11.99', '14.89')"
SUV,豪越,"('10.36', '14.26')"
SUV,WEY VV7,"('16.98', '19.28')"
SUV,途昂X,"('28.99', '43.99')"
SUV,揽胜,"('122.50', '321.30')"
SUV,北京BJ40,"('15.98', '26.99')"
SUV,远景X3,"('4.99', '6.89')"
SUV,大指挥官,"('23.98', '40.98')"
SUV,胜达,"('20.28', '27.28')"
SUV,途达,"('16.98', '24.83')"
SUV,瑞虎3X,"('4.69', '6.79')"
SUV,森林人,"('22.38', '28.58')"
SUV,自由光,"('17.98', '31.98')"
SUV,柯迪亚克,"('17.79', '24.79')"
SUV,丰田C-HR,"('14.18', '18.08')"
SUV,奥迪Q8,"('76.88', '104.88')"
SUV,东风风神AX7,"('8.98', '14.39')"
SUV,翼虎,"('16.98', '24.98')"
SUV,缤越,"('7.58', '11.98')"
SUV,马自达CX-5,"('17.98', '24.58')"
SUV,炮,"('9.78', '20.78')"
SUV,红旗HS7,"('27.58', '45.98')"
SUV,航海家(进口),"('38.88', '51.88')"
SUV,捷途X95,"('9.99', '15.29')"
SUV,Cayenne,"('91.30', '190.80')"
SUV,奕泽IZOA,"('14.58', '17.68')"
SUV,五菱宏光S3,"('5.68', '8.28')"
SUV,揽胜运动版,"('90.48', '189.80')"
SUV,奔腾T99,"('14.99', '18.99')"
SUV,风光580,"('7.99', '12.30')"
SUV,楼兰,"('23.88', '37.58')"
SUV,标致5008,"('18.77', '27.37')"
SUV,牧马人,"('42.99', '55.99')"
SUV,飞行家,"('50.98', '75.98')"
SUV,风骏7,"('8.68', '13.88')"
SUV,撼路者,"('27.58', '37.48')"
SUV,普拉多中东版,"('45.50', '85.80')"
SUV,唐新能源,"('19.78', '31.48')"
SUV,劲客,"('9.98', '13.88')"
SUV,长安欧尚科赛Pro,"('8.59', '15.29')"
SUV,哈弗H6 Coupe,"('7.99', '11.90')"
SUV,兰德酷路泽中东版,"('69.80', '142.00')"
SUV,名爵ZS,"('7.88', '11.28')"
SUV,林肯MKC,"('27.98', '37.68')"
SUV,发现运动版,"('35.68', '45.58')"
SUV,传祺GS3,"('7.68', '11.38')"
SUV,探岳X,"('23.58', '29.58')"
SUV,KX3傲跑,"('10.88', '12.58')"
SUV,蔚来ES6,"('35.80', '52.60')"
SUV,宝马X4,"('45.59', '58.59')"
SUV,英菲尼迪QX50,"('33.38', '46.98')"
SUV,Macan,"('54.50', '92.50')"
SUV,北京现代ix25,"('10.58', '13.68')"
SUV,本田UR-V,"('24.68', '32.98')"
SUV,宝马X6,"('76.69', '93.69')"
SUV,傲虎,"('27.08', '33.08')"
SUV,大切诺基(进口),"('52.99', '71.49')"
SUV,奕跑,"('6.98', '8.28')"
SUV,途胜,"('16.99', '21.99')"
SUV,哈弗H2,"('7.59', '9.59')"
SUV,东南DX3,暂无报价
SUV,哈弗H7,"('14.20', '18.00')"
SUV,创酷,"('9.99', '13.99')"
SUV,长安CS15,"('5.59', '8.09')"
SUV,发现,"('66.98', '83.78')"
SUV,揽胜极光,"('35.58', '50.58')"
SUV,风骏5,"('6.88', '11.28')"
SUV,宋,"('6.98', '9.38')"
SUV,唐,"('12.99', '16.99')"
SUV,荣威RX8,"('16.88', '22.88')"
SUV,揽胜星脉,"('57.28', '87.88')"
SUV,驭胜S350,"('12.18', '20.18')"
SUV,长安CS95,"('16.59', '21.39')"
SUV,讴歌RDX,"('32.80', '46.00')"
SUV,蔚来ES8,"('46.80', '62.40')"
SUV,捷途X70S,"('7.69', '15.89')"
SUV,星途TX,"('13.59', '14.79')"
SUV,mu-X牧游侠,"('17.88', '28.48')"
SUV,路虎卫士,"('77.80', '95.80')"
SUV,星途TXL,"('13.59', '17.59')"
SUV,理想ONE,"('32.80', '32.80')"
SUV,瑞虎3,"('5.99', '7.99')"
SUV,MINI COUNTRYMAN,"('24.88', '34.38')"
SUV,上汽MAXUS T60,"('8.98', '21.38')"
SUV,奔驰G级,"('142.98', '189.88')"
SUV,哪吒V,"('5.99', '12.08')"
SUV,新宝骏RS-3,"('6.38', '9.88')"
SUV,中华V7,"('10.87', '15.99')"
SUV,元新能源,"('8.99', '13.99')"
SUV,荣威RX3,"('6.98', '10.43')"
SUV,传祺GS5,"('10.98', '16.98')"
SUV,微蓝7,"('17.98', '19.98')"
SUV,讴歌CDX,"('22.98', '34.98')"
SUV,探险者（进口）,"('41.28', '59.18')"
SUV,自由侠,"('12.98', '19.08')"
SUV,启辰T60,"('8.68', '11.88')"
SUV,劲炫ASX,"('9.98', '13.98')"
SUV,BEIJING-X3,"('4.99', '9.59')"
SUV,飞行家（进口）,"('62.88', '68.88')"
SUV,长安CS85 COUPE,"('11.99', '16.99')"
SUV,帕里斯帝,"('29.88', '32.98')"
SUV,锐骐6,"('8.98', '17.98')"
SUV,雪铁龙C3-XR,"('9.48', '11.89')"
SUV,北京BJ80,"('29.80', '39.80')"
SUV,蔚来EC6,"('36.80', '52.60')"
SUV,斯巴鲁XV,"('19.18', '23.38')"
SUV,捷豹F-PACE,"('47.58', '78.78')"
SUV,纳瓦拉,"('13.98', '19.98')"
SUV,哪吒N01,"('6.68', '13.98')"
SUV,捷途X70M,"('6.49', '9.59')"
SUV,长安欧尚科赛5,"('5.39', '8.29')"
SUV,D-MAX,"('14.48', '22.48')"
SUV,风行T5L,"('7.99', '17.69')"
SUV,东南DX7,"('8.99', '13.99')"
SUV,域虎7,"('10.78', '17.63')"
SUV,奔驰GLC(进口),"('45.88', '59.88')"
SUV,爱驰U5,"('16.69', '29.21')"
SUV,中华V3,"('5.07', '8.77')"
SUV,Stelvio,"('45.68', '127.98')"
SUV,BJ 212,"('7.77', '10.48')"
SUV,上汽大通MAXUS T70,"('8.98', '20.48')"
SUV,瑞风S3,"('6.79', '8.79')"
SUV,途观X,"('24.59', '30.59')"
SUV,奔腾T33,"('6.98', '10.59')"
SUV,风骏6,"('8.68', '11.78')"
SUV,途乐中东版,"('53.00', '86.80')"
SUV,域虎9,"('13.48', '21.18')"
SUV,启辰T70,"('8.98', '12.78')"
SUV,福特F-150,"('52.38', '118.00')"
SUV,VGV U70,"('6.99', '11.89')"
SUV,英菲尼迪QX60,"('47.98', '56.98')"
SUV,柯迪亚克GT,"('17.99', '25.29')"
SUV,宝沃BX7,"('16.98', '30.28')"
SUV,捷途X70 Coupe,"('9.29', '12.99')"
SUV,MODEL X,"('77.29', '100.00')"
SUV,穿越者中东版,"('29.80', '52.00')"
SUV,Levante,"('96.18', '122.98')"
SUV,标致2008,"('10.99', '14.99')"
SUV,风光ix7,"('12.59', '21.59')"
SUV,启辰T90,"('11.88', '15.48')"
SUV,拓陆者驭途,"('10.48', '19.58')"
SUV,瑞迈,"('8.38', '13.58')"
SUV,北汽新能源EC5,"('9.99', '11.99')"
SUV,思皓X8,"('8.88', '13.58')"
SUV,途观L新能源,"('26.58', '29.28')"
SUV,添越,"('246.20', '246.20')"
SUV,BEIJING-EX3,"('11.99', '16.39')"
SUV,瑞风S4,"('7.58', '9.88')"
SUV,阿斯顿·马丁DBX,"('212.80', '319.80')"
SUV,起亚KX7,"('17.98', '27.68')"
SUV,腾势X,"('28.98', '35.78')"
SUV,宝典,"('8.28', '10.93')"
SUV,风光ix5,"('9.98', '13.98')"
SUV,宝马X5加版,"('75.00', '98.00')"
SUV,奥迪Q2L e-tron,"('22.68', '23.73')"
SUV,丰田C-HR EV,"('22.58', '24.98')"
SUV,江淮T8,"('8.88', '16.28')"
SUV,奔驰EQC,"('49.98', '62.28')"
SUV,马自达CX-8,"('25.88', '33.08')"
SUV,SWM斯威X7,"('6.39', '10.59')"
SUV,奔驰GLC AMG,"('65.88', '128.88')"
SUV,黄海N3,"('10.58', '19.68')"
SUV,风光500,"('5.48', '7.48')"
SUV,江淮iEV7S,"('9.35', '10.95')"
SUV,云逸 C4 AIRCROSS,"('10.68', '15.68')"
SUV,奔驰G级AMG,"('222.88', '245.88')"
SUV,思皓E20X,"('12.80', '13.80')"
SUV,讴歌MDX,"('69.80', '84.80')"
SUV,Aion LX(埃安LX),"('22.96', '34.96')"
SUV,帕杰罗·劲畅(进口),"('27.98', '30.98')"
SUV,域虎5,"('9.68', '13.63')"
SUV,WEY VV7 GT,"('19.18', '25.88')"
SUV,超霸加版,"('55.60', '84.80')"
SUV,奔驰GLE AMG,"('98.88', '102.88')"
SUV,勇士,"('9.98', '16.17')"
SUV,Tiguan,"('23.98', '35.08')"
SUV,东南DX5,"('6.99', '9.99')"
SUV,瑞虎e,"('10.88', '14.39')"
SUV,宝马X5中东版,"('75.00', '85.80')"
SUV,奇瑞蚂蚁,"('14.98', '18.98')"
SUV,卡宴美版,"('90.00', '108.00')"
SUV,揽胜极光(进口),"('69.80', '69.80')"
SUV,沃尔沃XC90新能源,"('89.19', '128.58')"
SUV,江淮T6,"('8.68', '13.48')"
SUV,上汽MAXUS D90 Pro,"('17.98', '27.68')"
SUV,传祺GE3,"('15.48', '18.08')"
SUV,卡宴加版,"('96.80', '145.00')"
SUV,雷克萨斯LX中东版,"('148.00', '180.00')"
SUV,长安凯程F70,"('9.28', '14.18')"
SUV,奥迪e-tron(进口),"('69.28', '82.86')"
SUV,东风风神AX4,"('7.59', '9.39')"
SUV,帕杰罗中东版,"('32.80', '42.00')"
SUV,嘉悦X7,"('8.98', '13.98')"
SUV,宝马X5墨版,"('69.50', '82.00')"
SUV,风光580Pro,"('9.29', '12.09')"
SUV,FJ酷路泽中东版,"('50.80', '58.80')"
SUV,Urus,"('291.20', '294.11')"
SUV,发现5加版,"('84.80', '92.80')"
SUV,SWM斯威G05,"('6.99', '11.99')"
SUV,拓陆者,"('7.78', '19.88')"
SUV,Cayenne新能源,"('86.80', '101.20')"
SUV,吉姆尼(进口),"('14.18', '16.08')"
SUV,宝马X5 M,"('143.89', '143.89')"
SUV,酷威,"('27.49', '37.29')"
SUV,旷世,"('15.98', '24.38')"
SUV,广汽本田VE-1,"('15.98', '18.38')"
SUV,奔驰GLE美版,"('68.50', '119.80')"
SUV,探岳GTE插电混动,"('24.98', '25.98')"
SUV,瑞虎3xe,"('9.38', '10.68')"
SUV,铃拓,"('11.18', '15.48')"
SUV,沃尔沃XC60新能源,"('52.79', '60.59')"
SUV,宝马X5新能源,"('84.99', '85.99')"
