排名,车型,销量,厂商,售价(万元)
1,瑞麒M1,325769,奇瑞瑞麒,0.00 - 0.00
2,福克斯,296360,长安福特,10.88 - 15.38
3,赛欧,279728,上汽通用雪佛兰,6.29 - 7.99
4,凯越,252937,上汽通用别克,8.39 - 9.99
5,朗逸,246687,上汽大众,9.99 - 16.19
6,捷达,242528,一汽-大众,7.98 - 10.68
7,科鲁兹,233485,上汽通用雪佛兰,0.00 - 0.00
8,宝来,222970,一汽-大众,9.88 - 15.70
9,悦动,217026,北京现代,8.49 - 11.59
10,帕萨特,210567,上汽大众,18.59 - 28.29
11,速腾,196296,一汽-大众,12.89 - 19.29
12,瑞纳,188857,北京现代,4.99 - 7.39
13,迈腾,173664,一汽-大众,18.69 - 30.99
14,英朗,173312,上汽通用别克,11.99 - 12.59
15,卡罗拉,151887,一汽丰田,10.98 - 15.98
16,夏利,148201,天津一汽,0.00 - 0.00
17,凯美瑞,147454,广汽丰田,17.98 - 27.98
18,骐达TIIDA,144215,东风日产,9.99 - 13.59
19,奇瑞QQ3,143802,奇瑞汽车,0.00 - 0.00
20,起亚K2,143155,东风悦达起亚,7.29 - 10.39
21,明锐,138262,上汽斯柯达,9.99 - 16.14
22,Polo,137949,上汽大众,9.99 - 12.39
23,阳光,137820,东风日产,0.00 - 0.00
24,长城C30,136504,长城汽车,0.00 - 0.00
25,比亚迪F3,135455,比亚迪,4.49 - 5.08
26,轩逸,133823,东风日产,9.98 - 14.30
27,奥迪A6L,132832,一汽-大众奥迪,40.98 - 65.38
28,雅阁,130368,广汽本田,17.98 - 25.98
29,高尔夫,127376,一汽-大众,12.98 - 18.02
30,花冠,124531,一汽丰田,0.00 - 0.00
31,宝马3系,122229,华晨宝马,29.39 - 40.99
32,世嘉,117042,东风雪铁龙,0.00 - 0.00
33,宝马5系,105939,华晨宝马,42.69 - 54.99
34,奥迪A4L,100519,一汽-大众奥迪,30.58 - 39.68
35,索纳塔八,100477,北京现代,0.00 - 0.00
36,锋范,98496,广汽本田,0.00 - 0.00
37,天籁,90072,东风日产,17.98 - 26.98
38,骊威,87724,东风日产,0.00 - 0.00
39,和悦,87292,江淮汽车,0.00 - 0.00
40,君越,86101,上汽通用别克,21.98 - 28.98
41,阿特兹,85581,一汽马自达,17.58 - 24.78
42,君威,85440,上汽通用别克,17.28 - 25.98
43,比亚迪L3,82860,比亚迪,0.00 - 0.00
44,乐驰,82550,上汽通用五菱,0.00 - 0.00
45,朗动,81827,北京现代,11.58 - 12.78
46,福瑞迪,81087,东风悦达起亚,7.88 - 10.28
47,思域,79763,东风本田,11.99 - 16.99
48,致胜,70926,长安福特,0.00 - 0.00
49,北斗星,70886,昌河铃木,4.20 - 4.40
50,荣威350,70692,上汽集团,0.00 - 0.00
51,力帆620,70654,力帆汽车,0.00 - 0.00
52,标致308,67583,东风标致,8.97 - 13.07
53,伊兰特,64368,北京现代,9.98 - 14.18
54,景逸,63778,东风风行,0.00 - 0.00
55,比亚迪F0,63083,比亚迪,3.79 - 4.79
56,奇瑞E5,62847,奇瑞汽车,0.00 - 0.00
57,福美来,61630,一汽海马,6.88 - 9.28
58,自由舰,59891,吉利汽车,0.00 - 0.00
59,锐志,59846,一汽丰田,0.00 - 0.00
60,V3菱悦,59783,东南汽车,0.00 - 0.00
61,奥拓,57463,长安铃木,4.18 - 6.19
62,风云2,57255,奇瑞汽车,0.00 - 0.00
63,奔腾B50,57158,一汽奔腾,12.68 - 15.28
64,爱唯欧,56626,上汽通用雪佛兰,0.00 - 0.00
65,金刚,54556,吉利汽车,0.00 - 0.00
66,标致408,53533,东风标致,11.77 - 16.97
67,K5凯酷,52742,东风悦达起亚,16.18 - 20.58
68,嘉年华,52007,长安福特,0.00 - 0.00
69,海景,51990,吉利汽车,0.00 - 0.00
70,迈锐宝,51926,上汽通用雪佛兰,16.49 - 18.99
71,奔奔MINI,48678,长安汽车,0.00 - 0.00
72,晶锐,48380,上汽斯柯达,0.00 - 0.00
73,宝骏630,46026,上汽通用五菱,0.00 - 0.00
74,马自达3星骋,45049,长安马自达,0.00 - 0.00
75,力帆320,45023,力帆汽车,0.00 - 0.00
76,名爵3,44394,上汽名爵,0.00 - 0.00
77,长城C50,42302,长城汽车,0.00 - 0.00
78,中华骏捷FSV,41561,华晨中华,0.00 - 0.00
79,比亚迪G6,41075,比亚迪,0.00 - 0.00
80,逸动,40239,长安汽车,7.29 - 10.39
81,长安CX20,38966,长安汽车,0.00 - 0.00
82,速锐,38664,比亚迪,0.00 - 0.00
83,荣威550,37911,上汽集团,0.00 - 0.00
84,一汽-大众CC,37589,一汽-大众,24.68 - 30.18
85,远景,37247,吉利汽车,4.99 - 7.39
86,羚羊,36913,长安铃木,0.00 - 0.00
87,奔驰E级,36765,北京奔驰,42.98 - 64.28
88,飞度,35920,广汽本田,7.38 - 10.88
89,赛拉图,35451,东风悦达起亚,0.00 - 0.00
90,雪铁龙C5,35242,东风雪铁龙,16.99 - 21.59
91,歌诗图,33937,广汽本田,0.00 - 0.00
92,雨燕,33591,长安铃木,0.00 - 0.00
93,旗云2,32873,奇瑞汽车,0.00 - 0.00
94,比亚迪G3,31964,比亚迪,0.00 - 0.00
95,熊猫,31672,吉利汽车,0.00 - 0.00
96,启辰D50,31177,东风启辰,0.00 - 0.00
97,奔驰C级,30970,北京奔驰,30.78 - 47.48
98,天语 SX4,28746,长安铃木,0.00 - 0.00
99,莲花L3,27820,莲花汽车,0.00 - 0.00
100,标致508,26926,东风标致,15.97 - 22.57
101,东风风神H30,26922,东风乘用车,0.00 - 0.00
102,起亚K3,26845,东风悦达起亚,10.88 - 13.18
103,皇冠,25456,一汽丰田,25.08 - 37.48
104,东风风神S30,25453,东风乘用车,0.00 - 0.00
105,众泰Z360,25126,众泰汽车,0.00 - 0.00
106,吉利EC8,25015,吉利汽车,0.00 - 0.00
107,威志,24603,天津一汽,0.00 - 0.00
108,理念S1,24576,广汽理念,0.00 - 0.00
109,中华H530,23139,华晨中华,8.58 - 13.98
110,力帆X60,22712,力帆汽车,0.00 - 0.00
111,名爵6,22397,上汽名爵,9.38 - 14.28
112,奔腾B70,21682,一汽奔腾,0.00 - 0.00
113,中华骏捷FRV,21347,华晨中华,0.00 - 0.00
114,丘比特,21173,海马汽车,0.00 - 0.00
115,景程,20398,上汽通用雪佛兰,0.00 - 0.00
116,秀尔,19825,东风悦达起亚,0.00 - 0.00
117,翼神,19367,东南三菱,0.00 - 0.00
118,马自达3,19164,长安马自达,0.00 - 0.00
119,吉利GC7,18523,吉利汽车,0.00 - 0.00
120,V5菱致,17771,东南汽车,0.00 - 0.00
121,莲花L5,17601,莲花汽车,0.00 - 0.00
122,睿翼,16648,一汽马自达,0.00 - 0.00
123,力帆520,15744,力帆汽车,0.00 - 0.00
124,威志V2,14911,天津一汽,0.00 - 0.00
125,雪铁龙C2,14645,东风雪铁龙,0.00 - 0.00
126,思铭,14089,东风本田,0.00 - 0.00
127,悦悦,13885,江淮汽车,0.00 - 0.00
128,天语 尚悦,13324,长安铃木,0.00 - 0.00
129,思铂睿,12417,东风本田,17.99 - 26.79
130,长城C20R,12189,长城汽车,0.00 - 0.00
131,马自达2,10707,长安马自达,0.00 - 0.00
132,启辰R50,10628,东风启辰,0.00 - 0.00
133,名爵5,10180,上汽名爵,6.79 - 10.49
134,传祺GA5,9612,广汽乘用车,0.00 - 0.00
135,中华骏捷,9601,华晨中华,0.00 - 0.00
136,锐欧,9184,东风悦达起亚,0.00 - 0.00
137,威驰,9130,一汽丰田,7.38 - 11.18
138,菲翔,9104,广汽菲克菲亚特,0.00 - 0.00
139,海马王子,8921,一汽海马,0.00 - 0.00
140,长安CX30,8503,长安汽车,0.00 - 0.00
141,吉利SC3,8330,吉利汽车,0.00 - 0.00
142,利亚纳,7451,昌河铃木,0.00 - 0.00
143,东风风神A60,6890,东风乘用车,6.97 - 15.47
144,玛驰,6720,东风日产,5.98 - 8.75
145,悦翔V5,6529,长安汽车,0.00 - 0.00
146,沃尔沃S80L,5649,长安沃尔沃,0.00 - 0.00
147,欧朗,4904,一汽欧朗,0.00 - 0.00
148,路宝,4878,哈飞汽车,0.00 - 0.00
149,荣威950,4598,上汽集团,0.00 - 0.00
150,桑塔纳,2919,上汽大众,8.69 - 11.59
151,蓝瑟,2626,东南三菱,0.00 - 0.00
152,普锐斯,2434,一汽丰田,0.00 - 0.00
153,派喜,2418,昌河铃木,0.00 - 0.00
154,荣威750,2005,上汽集团,0.00 - 0.00
155,赛马,1764,哈飞汽车,0.00 - 0.00
156,林荫大道,1501,上汽通用别克,0.00 - 0.00
157,瑞麒G5,1096,奇瑞瑞麒,0.00 - 0.00
158,英伦TX4,514,吉利汽车,0.00 - 0.00
159,名爵7,510,上汽名爵,0.00 - 0.00
160,三菱戈蓝,425,东南三菱,0.00 - 0.00
161,东方之子,356,奇瑞汽车,0.00 - 0.00
162,荣威E50,238,上汽集团,0.00 - 0.00
163,力帆720,214,力帆汽车,0.00 - 0.00
164,威姿,171,天津一汽,0.00 - 0.00
165,睿骋,142,长安汽车,0.00 - 0.00
166,华泰B11,131,华泰汽车,0.00 - 0.00
167,红旗H7,127,一汽红旗,25.28 - 31.78
168,赛豹V,85,哈飞汽车,0.00 - 0.00
